what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516717053045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717058400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717061430
executed,command,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.commands.runCodanCommand",1516717075958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717076249
error,log,,,"Internal Error",1516717076404
error,log,,,"Internal Error",1516717076407
error,log,,,"Internal Error",1516717076409
error,log,,,"Internal Error",1516717076412
error,log,,,"Internal Error",1516717076422
error,log,,,"Internal Error",1516717076425
error,log,,,"Internal Error",1516717076428
error,log,,,"Internal Error",1516717076430
error,log,,,"Internal Error",1516717076434
error,log,,,"Internal Error",1516717076437
error,log,,,"Internal Error",1516717076442
error,log,,,"Internal Error",1516717076446
error,log,,,"Internal Error",1516717076449
error,log,,,"Internal Error",1516717076451
error,log,,,"Internal Error",1516717076454
error,log,,,"Internal Error",1516717076464
error,log,,,"Internal Error",1516717076466
error,log,,,"Internal Error",1516717076469
error,log,,,"Internal Error",1516717076472
error,log,,,"Internal Error",1516717076474
error,log,,,"Internal Error",1516717076478
error,log,,,"Internal Error",1516717076481
error,log,,,"Internal Error",1516717076483
error,log,,,"Internal Error",1516717076486
error,log,,,"Internal Error",1516717076489
error,log,,,"Internal Error",1516717076492
error,log,,,"Internal Error",1516717076495
error,log,,,"Internal Error",1516717076498
error,log,,,"Internal Error",1516717076501
error,log,,,"Internal Error",1516717076504
error,log,,,"Internal Error",1516717076654
error,log,,,"Internal Error",1516717076657
error,log,,,"Internal Error",1516717076660
error,log,,,"Internal Error",1516717076663
error,log,,,"Internal Error",1516717076665
error,log,,,"Internal Error",1516717076668
error,log,,,"Internal Error",1516717076671
error,log,,,"Internal Error",1516717076675
error,log,,,"Internal Error",1516717076679
error,log,,,"Internal Error",1516717076682
error,log,,,"Internal Error",1516717076728
error,log,,,"Internal Error",1516717076731
error,log,,,"Internal Error",1516717076734
error,log,,,"Internal Error",1516717076736
error,log,,,"Internal Error",1516717076739
error,log,,,"Internal Error",1516717076742
error,log,,,"Internal Error",1516717076744
error,log,,,"Internal Error",1516717076747
error,log,,,"Internal Error",1516717076749
error,log,,,"Internal Error",1516717076752
error,log,,,"Internal Error",1516717076779
error,log,,,"Internal Error",1516717076782
error,log,,,"Internal Error",1516717076785
error,log,,,"Internal Error",1516717076787
error,log,,,"Internal Error",1516717076790
error,log,,,"Internal Error",1516717076793
error,log,,,"Internal Error",1516717076796
error,log,,,"Internal Error",1516717076798
error,log,,,"Internal Error",1516717076801
error,log,,,"Internal Error",1516717076804
error,log,,,"Internal Error",1516717076859
error,log,,,"Internal Error",1516717076861
error,log,,,"Internal Error",1516717076866
error,log,,,"Internal Error",1516717076869
error,log,,,"Internal Error",1516717076872
error,log,,,"Internal Error",1516717076875
error,log,,,"Internal Error",1516717076878
error,log,,,"Internal Error",1516717076881
error,log,,,"Internal Error",1516717076884
error,log,,,"Internal Error",1516717076886
error,log,,,"Internal Error",1516717076929
error,log,,,"Internal Error",1516717076932
error,log,,,"Internal Error",1516717076935
error,log,,,"Internal Error",1516717076938
error,log,,,"Internal Error",1516717076941
error,log,,,"Internal Error",1516717076944
error,log,,,"Internal Error",1516717076947
error,log,,,"Internal Error",1516717076950
error,log,,,"Internal Error",1516717076953
error,log,,,"Internal Error",1516717076956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717077106
executed,command,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.commands.runCodanCommand",1516717088424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717098620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717098786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717099337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717101810
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1516717102053
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516717103193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717105594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717106408
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1516717106411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717110148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717111922
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1516717112032
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516717128206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717138649
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1516717311269
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1516717311339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717323426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1516717323473
